RCID,PRIM,GRUP,OBJL,RVER,AGEN,FIDN,FIDS,LNAM,LNAM_REFS,FFPT_RIND,DRVAL1,DRVAL2,QUASOU,SOUACC,VERDAT,INFORM,NINFOM,NTXTDS,SCAMAX,SCAMIN,TXTDSC,RECDAT,RECIND,SORDAT,SORIND
475,2,2,42,1,550,115117351,1287,022606DC8D270507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
476,2,2,42,1,550,115117354,1287,022606DC8D2A0507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
477,2,2,42,1,550,115117391,1287,022606DC8D4F0507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
478,2,2,42,1,550,115119917,1287,022606DC972D0507,,,-0.51,3.65,,,,,,,,45000,,,,,"US,US"
479,2,2,42,1,550,115119921,1287,022606DC97310507,,,-0.51,3.65,,,,,,,,45000,,,,,"US,US"
480,3,1,42,1,550,175395425,1080,02260A7452610438,,,-0.51,0,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
481,3,1,42,1,550,175396831,1080,02260A7457DF0438,,,-0.51,0,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
482,3,1,42,1,550,175396844,1080,02260A7457EC0438,,,-0.51,0,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
483,3,1,42,1,550,175396857,1080,02260A7457F90438,,,-0.51,0,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
484,3,1,42,1,550,175396871,1080,02260A7458070438,,,-0.51,0,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
485,3,1,42,1,550,175396884,1080,02260A7458140438,,,-0.51,0,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
486,3,1,42,1,550,175396897,1080,02260A7458210438,,,-0.51,0,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
487,3,1,42,1,550,175396910,1080,02260A74582E0438,,,-0.51,0,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
488,3,1,42,1,550,175396923,1080,02260A74583B0438,,,-0.51,0,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
489,3,1,42,1,550,175396935,1080,02260A7458470438,,,-0.51,0,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
490,3,1,42,1,550,175396948,1080,02260A7458540438,,,-0.51,0,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
491,3,1,42,1,550,175396975,1080,02260A74586F0438,,,-0.51,0,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
492,3,1,42,1,550,175397017,1080,02260A7458990438,,,-0.51,0,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
493,3,1,42,1,550,175397031,1080,02260A7458A70438,,,-0.51,0,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
494,3,1,42,1,550,175397071,1080,02260A7458CF0438,,,-0.51,0,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
495,3,1,42,1,550,175397084,1080,02260A7458DC0438,,,-0.51,0,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
496,3,1,42,1,550,175397202,1080,02260A7459520438,,,-0.51,0,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
497,3,1,42,1,550,175397233,1080,02260A7459710438,,,-0.51,0,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
498,3,1,42,1,550,175400134,1080,02260A7464C60438,,,0,1.82,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
499,3,1,42,1,550,175400467,1080,02260A7466130438,,,0,0.91,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
500,3,1,42,1,550,175400541,1080,02260A74665D0438,,,0,0.91,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
501,3,1,42,1,550,175400832,1080,02260A7467800438,,,1.82,3.65,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
502,3,1,42,1,550,175400848,1080,02260A7467900438,,,1.82,3.65,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
503,3,1,42,1,550,175401254,1080,02260A7469260438,,,3.65,5.48,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
504,3,1,42,1,550,175401340,1080,02260A74697C0438,,,5.48,9.14,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
505,2,2,42,1,550,115116992,1287,022606DC8BC00507,,,0,1.82,,,,,,,,45000,,,,,"US,US"
506,2,2,42,1,550,115116997,1287,022606DC8BC50507,,,0,1.82,,,,,,,,45000,,,,,"US,US"
507,2,2,42,1,550,115117003,1287,022606DC8BCB0507,,,0,1.82,,,,,,,,45000,,,,,"US,US"
508,2,2,42,1,550,115117007,1287,022606DC8BCF0507,,,0,1.82,,,,,,,,45000,,,,,"US,US"
509,2,2,42,1,550,115117011,1287,022606DC8BD30507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
510,2,2,42,1,550,115117014,1287,022606DC8BD60507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
511,2,2,42,1,550,115117016,1287,022606DC8BD80507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
512,2,2,42,1,550,115117019,1287,022606DC8BDB0507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
513,2,2,42,1,550,115117024,1287,022606DC8BE00507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
514,2,2,42,1,550,115117029,1287,022606DC8BE50507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
515,2,2,42,1,550,115117032,1287,022606DC8BE80507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
516,2,2,42,1,550,115117040,1287,022606DC8BF00507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
517,2,2,42,1,550,115117043,1287,022606DC8BF30507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
518,2,2,42,1,550,115117050,1287,022606DC8BFA0507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
519,2,2,42,1,550,115117053,1287,022606DC8BFD0507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
520,2,2,42,1,550,115117058,1287,022606DC8C020507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
521,2,2,42,1,550,115117062,1287,022606DC8C060507,,,0.91,1.82,,,,,,,,45000,,,,,"US,US"
522,2,2,42,1,550,115117067,1287,022606DC8C0B0507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
523,2,2,42,1,550,115117072,1287,022606DC8C100507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
524,2,2,42,1,550,115117075,1287,022606DC8C130507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
525,2,2,42,1,550,115117078,1287,022606DC8C160507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
526,2,2,42,1,550,115117081,1287,022606DC8C190507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
527,2,2,42,1,550,115117084,1287,022606DC8C1C0507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
528,2,2,42,1,550,115117087,1287,022606DC8C1F0507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
529,2,2,42,1,550,115117091,1287,022606DC8C230507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
530,2,2,42,1,550,115117094,1287,022606DC8C260507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
531,2,2,42,1,550,115117098,1287,022606DC8C2A0507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
532,2,2,42,1,550,115117107,1287,022606DC8C330507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
533,2,2,42,1,550,115117115,1287,022606DC8C3B0507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
534,2,2,42,1,550,115117118,1287,022606DC8C3E0507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
535,2,2,42,1,550,115117121,1287,022606DC8C410507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
536,2,2,42,1,550,115117125,1287,022606DC8C450507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
537,2,2,42,1,550,115117129,1287,022606DC8C490507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
538,2,2,42,1,550,115117134,1287,022606DC8C4E0507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
539,2,2,42,1,550,115117137,1287,022606DC8C510507,,,0.91,3.65,,,,,,,,45000,,,,,"US,US"
540,2,2,42,1,550,115117140,1287,022606DC8C540507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
541,2,2,42,1,550,115117143,1287,022606DC8C570507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
542,2,2,42,1,550,115117147,1287,022606DC8C5B0507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
543,2,2,42,1,550,115117150,1287,022606DC8C5E0507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
544,2,2,42,1,550,115117153,1287,022606DC8C610507,,,0.91,1.82,,,,,,,,45000,,,,,"US,US"
545,2,2,42,1,550,115117156,1287,022606DC8C640507,,,0.91,1.82,,,,,,,,45000,,,,,"US,US"
546,2,2,42,1,550,115117160,1287,022606DC8C680507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
547,2,2,42,1,550,115117165,1287,022606DC8C6D0507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
548,2,2,42,1,550,115117169,1287,022606DC8C710507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
549,2,2,42,1,550,115117173,1287,022606DC8C750507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
550,2,2,42,1,550,115117251,1287,022606DC8CC30507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
551,2,2,42,1,550,115117287,1287,022606DC8CE70507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
552,2,2,42,1,550,115117293,1287,022606DC8CED0507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
553,2,2,42,1,550,115117298,1287,022606DC8CF20507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
554,2,2,42,1,550,115117301,1287,022606DC8CF50507,,,-0.51,1.82,,,,,,,,45000,,,,,"US,US"
555,2,2,42,1,550,115117315,1287,022606DC8D030507,,,-0.51,1.82,,,,,,,,45000,,,,,"US,US"
556,2,2,42,1,550,115117318,1287,022606DC8D060507,,,-0.51,1.82,,,,,,,,45000,,,,,"US,US"
557,2,2,42,1,550,115117321,1287,022606DC8D090507,,,-0.51,1.82,,,,,,,,45000,,,,,"US,US"
558,2,2,42,1,550,115117324,1287,022606DC8D0C0507,,,-0.51,1.82,,,,,,,,45000,,,,,"US,US"
559,2,2,42,1,550,115117358,1287,022606DC8D2E0507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
560,2,2,42,1,550,115117362,1287,022606DC8D320507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
561,2,2,42,1,550,115117366,1287,022606DC8D360507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
562,2,2,42,1,550,115117369,1287,022606DC8D390507,,,0.91,3.65,,,,,,,,45000,,,,,"US,US"
563,2,2,42,1,550,115119928,1287,022606DC97380507,,,-0.51,3.65,,,,,,,,45000,,,,,"US,US"
564,3,1,42,1,550,175396990,1080,02260A74587E0438,,,-0.51,0,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
565,3,1,42,1,550,175398181,1080,02260A745D250438,,,-0.51,0,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
566,3,1,42,1,550,175398953,1080,02260A7460290438,,,0,0.91,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
567,3,1,42,1,550,175400699,1080,02260A7466FB0438,,,0,0.91,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
568,2,2,42,1,550,115117339,1287,022606DC8D1B0507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
569,2,2,42,1,550,115117342,1287,022606DC8D1E0507,,,0.91,2.59,,,,,,,,45000,,,,,"US,US"
570,2,2,42,1,550,115117347,1287,022606DC8D230507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
571,2,2,42,1,550,115117372,1287,022606DC8D3C0507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
572,2,2,42,1,550,115117375,1287,022606DC8D3F0507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
573,2,2,42,1,550,115117378,1287,022606DC8D420507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
574,2,2,42,1,550,115117381,1287,022606DC8D450507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
575,2,2,42,1,550,115117686,1287,022606DC8E760507,,,-0.51,2.59,,,,,,,,45000,,,,,"US,US"
576,2,2,42,1,550,115117689,1287,022606DC8E790507,,,-0.51,2.59,,,,,,,,45000,,,,,"US,US"
577,2,2,42,1,550,115117692,1287,022606DC8E7C0507,,,-0.51,2.59,,,,,,,,45000,,,,,"US,US"
578,2,2,42,1,550,115117695,1287,022606DC8E7F0507,,,-0.51,2.59,,,,,,,,45000,,,,,"US,US"
579,2,2,42,1,550,115117700,1287,022606DC8E840507,,,-0.51,2.59,,,,,,,,45000,,,,,"US,US"
580,2,2,42,1,550,115117703,1287,022606DC8E870507,,,-0.51,2.59,,,,,,,,45000,,,,,"US,US"
581,2,2,42,1,550,115117707,1287,022606DC8E8B0507,,,-0.51,2.59,,,,,,,,45000,,,,,"US,US"
582,2,2,42,1,550,115117710,1287,022606DC8E8E0507,,,-0.51,2.59,,,,,,,,45000,,,,,"US,US"
583,2,2,42,1,550,115117844,1287,022606DC8F140507,,,-0.51,2.59,,,,,,,,45000,,,,,"US,US"
584,2,2,42,1,550,115117856,1287,022606DC8F200507,,,-0.51,2.59,,,,,,,,45000,,,,,"US,US"
585,3,1,42,1,550,175396962,1080,02260A7458620438,,,-0.51,0,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
586,3,1,42,1,550,175397003,1080,02260A74588B0438,,,-0.51,0,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
587,3,1,42,1,550,175397044,1080,02260A7458B40438,,,-0.51,0,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
588,3,1,42,1,550,175397058,1080,02260A7458C20438,,,-0.51,0,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
589,3,1,42,1,550,175397096,1080,02260A7458E80438,,,-0.51,0,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
590,3,1,42,1,550,175397109,1080,02260A7458F50438,,,-0.51,0,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
591,3,1,42,1,550,175397122,1080,02260A7459020438,,,-0.51,0,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
592,3,1,42,1,550,175397134,1080,02260A74590E0438,,,-0.51,0,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
593,3,1,42,1,550,175397147,1080,02260A74591B0438,,,-0.51,0,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
594,3,1,42,1,550,175397161,1080,02260A7459290438,,,-0.51,0,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
595,3,1,42,1,550,175397175,1080,02260A7459370438,,,-0.51,0,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
596,3,1,42,1,550,175397188,1080,02260A7459440438,,,-0.51,0,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
597,3,1,42,1,550,175399782,1080,02260A7463660438,,,0,0.91,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
598,3,1,42,1,550,175399797,1080,02260A7463750438,,,0,0.91,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
599,3,1,42,1,550,175399811,1080,02260A7463830438,,,0,0.91,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
600,3,1,42,1,550,175399824,1080,02260A7463900438,,,0,0.91,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
601,3,1,42,1,550,175399838,1080,02260A74639E0438,,,0,0.91,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
602,3,1,42,1,550,175399852,1080,02260A7463AC0438,,,0,0.91,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
603,3,1,42,1,550,175399866,1080,02260A7463BA0438,,,0,0.91,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
604,3,1,42,1,550,175399881,1080,02260A7463C90438,,,0,0.91,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
605,3,1,42,1,550,175399894,1080,02260A7463D60438,,,0,0.91,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
606,3,1,42,1,550,175399908,1080,02260A7463E40438,,,0,0.91,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
607,3,1,42,1,550,175399922,1080,02260A7463F20438,,,0,0.91,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
608,3,1,42,1,550,175399936,1080,02260A7464000438,,,0,0.91,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
609,3,1,42,1,550,175399949,1080,02260A74640D0438,,,0,0.91,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
610,3,1,42,1,550,175400483,1080,02260A7466230438,,,0,0.91,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
611,3,1,42,1,550,175400497,1080,02260A7466310438,,,0,0.91,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
612,3,1,42,1,550,175400510,1080,02260A74663E0438,,,0,0.91,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
613,3,1,42,1,550,175511577,1080,02260A7618190438,,,0,0.91,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
614,3,1,42,1,550,175511598,1080,02260A76182E0438,,,-0.51,0,,,,,,,,,,,,19990529,"US,US,graph,chart 11322"
615,3,1,42,1,550,175517704,1080,02260A7630080438,,,0.6,0.91,9,,,,,,,,,,,19990425,"US,US,reprt,L-867/99"
616,3,1,42,1,550,175517720,1080,02260A7630180438,,,2.74,3.65,,,,,,,,,,,,19840000,"US,US,graph,chart 11322"
617,3,1,42,1,550,236066284,1132,02260E1215EC046C,,,2.59,3.65,,,,The depths from the Intracoastal Waterway to a point 26.0 statute miles upstream are for a mid-width of 50 feet. Surveyed Apr 1994 - May 1999.,,,,,,,,19940400,"US,US,reprt,L-235/00,CO-30/00"
618,2,2,42,1,550,115117176,1287,022606DC8C780507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
619,2,2,42,1,550,115117179,1287,022606DC8C7B0507,,,0.91,3.65,,,,,,,,45000,,,,,"US,US"
620,2,2,42,1,550,115117182,1287,022606DC8C7E0507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
621,2,2,42,1,550,115117188,1287,022606DC8C840507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
622,2,2,42,1,550,115117198,1287,022606DC8C8E0507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
623,2,2,42,1,550,115117203,1287,022606DC8C930507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
624,2,2,42,1,550,115117207,1287,022606DC8C970507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
625,2,2,42,1,550,115117210,1287,022606DC8C9A0507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
626,2,2,42,1,550,115117213,1287,022606DC8C9D0507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
627,2,2,42,1,550,115117217,1287,022606DC8CA10507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
628,2,2,42,1,550,115117225,1287,022606DC8CA90507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
629,2,2,42,1,550,115117233,1287,022606DC8CB10507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
630,2,2,42,1,550,115117238,1287,022606DC8CB60507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
631,2,2,42,1,550,115117242,1287,022606DC8CBA0507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
632,2,2,42,1,550,115117246,1287,022606DC8CBE0507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
633,2,2,42,1,550,115117255,1287,022606DC8CC70507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
634,2,2,42,1,550,115117260,1287,022606DC8CCC0507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
635,2,2,42,1,550,115117268,1287,022606DC8CD40507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
636,2,2,42,1,550,115117276,1287,022606DC8CDC0507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
637,2,2,42,1,550,115117281,1287,022606DC8CE10507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
638,2,2,42,1,550,115117305,1287,022606DC8CF90507,,,0,1.82,,,,,,,,45000,,,,,"US,US"
639,2,2,42,1,550,115117312,1287,022606DC8D000507,,,-0.51,1.82,,,,,,,,45000,,,,,"US,US"
640,2,2,42,1,550,115117384,1287,022606DC8D480507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
641,2,2,42,1,550,115117388,1287,022606DC8D4C0507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
642,2,2,42,1,550,115117397,1287,022606DC8D550507,,,0,2.74,,,,,,,,45000,,,,,"US,US"
643,2,2,42,1,550,115117401,1287,022606DC8D590507,,,0,2.74,,,,,,,,45000,,,,,"US,US"
644,2,2,42,1,550,115117404,1287,022606DC8D5C0507,,,0.91,3.65,,,,,,,,45000,,,,,"US,US"
645,2,2,42,1,550,115117408,1287,022606DC8D600507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
646,2,2,42,1,550,115117412,1287,022606DC8D640507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
647,2,2,42,1,550,115117415,1287,022606DC8D670507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
648,2,2,42,1,550,115117418,1287,022606DC8D6A0507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
649,2,2,42,1,550,115117427,1287,022606DC8D730507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
650,2,2,42,1,550,115117430,1287,022606DC8D760507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
651,2,2,42,1,550,115117433,1287,022606DC8D790507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
652,2,2,42,1,550,115117436,1287,022606DC8D7C0507,,,0.91,2.59,,,,,,,,45000,,,,,"US,US"
653,2,2,42,1,550,115117439,1287,022606DC8D7F0507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
654,2,2,42,1,550,115117442,1287,022606DC8D820507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
655,2,2,42,1,550,115117446,1287,022606DC8D860507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
656,2,2,42,1,550,115117449,1287,022606DC8D890507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
657,2,2,42,1,550,115117452,1287,022606DC8D8C0507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
658,2,2,42,1,550,115117455,1287,022606DC8D8F0507,,,0.91,2.59,,,,,,,,45000,,,,,"US,US"
659,2,2,42,1,550,115117458,1287,022606DC8D920507,,,0.91,2.59,,,,,,,,45000,,,,,"US,US"
660,2,2,42,1,550,115117461,1287,022606DC8D950507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
661,2,2,42,1,550,115117464,1287,022606DC8D980507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
662,2,2,42,1,550,115117467,1287,022606DC8D9B0507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
663,2,2,42,1,550,115117470,1287,022606DC8D9E0507,,,0.91,2.59,,,,,,,,45000,,,,,"US,US"
664,2,2,42,1,550,115117473,1287,022606DC8DA10507,,,0.91,2.59,,,,,,,,45000,,,,,"US,US"
665,2,2,42,1,550,115117478,1287,022606DC8DA60507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
666,2,2,42,1,550,115117481,1287,022606DC8DA90507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
667,2,2,42,1,550,115117485,1287,022606DC8DAD0507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
668,2,2,42,1,550,115117488,1287,022606DC8DB00507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
669,2,2,42,1,550,115117491,1287,022606DC8DB30507,,,0.91,2.59,,,,,,,,45000,,,,,"US,US"
670,2,2,42,1,550,115117497,1287,022606DC8DB90507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
671,2,2,42,1,550,115117500,1287,022606DC8DBC0507,,,0.91,2.59,,,,,,,,45000,,,,,"US,US"
672,2,2,42,1,550,115117503,1287,022606DC8DBF0507,,,-0.51,0,,,,,,,,45000,,,,,"US,US"
