RCID,PRIM,GRUP,OBJL,RVER,AGEN,FIDN,FIDS,LNAM,LNAM_REFS,FFPT_RIND,CATLIT,COLOUR,DATEND,DATSTA,EXCLIT,HEIGHT,LITCHR,LITVIS,MARSYS,MLTYLT,NOBJNM,OBJNAM,ORIENT,PEREND,PERSTA,SECTR1,SECTR2,SIGGRP,SIGPER,SIGSEQ,STATUS,VERACC,VALNMR,VERDAT,INFORM,NINFOM,NTXTDS,SCAMAX,SCAMIN,TXTDSC,RECDAT,RECIND,SORDAT,SORIND
3,1,2,75,1,550,175369875,1080,02260A73EE930438,,,,4,,,4,4.26,1,,,,,,,,,,,,,,8,,,,2 lights,,,,90000,,,,19940412,"US,US,reprt,8thCGD,LNM 15/94"
6,1,2,75,1,550,175369916,1080,02260A73EEBC0438,,,,3,,,4,3.65,2,,,,,,,,,,,(1),2.5,00.3+(02.2),8,,,,,,,,90000,,,,19820501,"US,US,reprt,8thCGD,LNM 22/82"
9,1,2,75,1,550,175369902,1080,02260A73EEAE0438,,,,1,,,4,3.65,2,,,,,,,,,,,(1),2.5,00.3+(02.2),8,,,,,,,,90000,,,,19820501,"US,US,reprt,8thCGD,LNM 22/82"
12,1,2,75,1,550,175369943,1080,02260A73EED70438,,,,3,,,4,6.09,2,,,,,,,,,,,(1),4,00.4+(03.6),1,,4,,,,,,120000,,,,19790701,"US,US,reprt,L-201/80"
16,1,2,75,1,550,175369930,1080,02260A73EECA0438,,,,3,,,4,6.09,2,,,,,,,,,,,(1),4,00.4+(03.6),1,,4,,,,,,120000,,,,19790701,"US,US,reprt,L-201/80"
20,1,2,75,1,550,175370016,1080,02260A73EF200438,,,,4,,,4,4.87,2,,,,,,,,,,,(1),4,00.4+(03.6),1,,5,,,,,,120000,,,,19790701,"US,US,reprt,L-201/80"
23,1,2,75,1,550,175370030,1080,02260A73EF2E0438,,,,3,,,4,6.7,4,,,,,,,,,,,(1),1,00.3+(00.7),1,,5,,,,,,120000,,,,19930803,"US,US,reprt,8thCGD,LNM 31/93"
26,1,2,75,1,550,175370044,1080,02260A73EF3C0438,,,,3,,,4,5.18,8,,,,,,,,,,,(1),4,(01.0)+03.0,1,,5,,,,,,120000,,,,19971014,"US,US,reprt,8thCGD,LNM 42/97"
29,1,2,75,1,550,175370071,1080,02260A73EF570438,,,,3,,,4,9.14,4,,,,,,,,,209,85,(1),1,00.3+(00.7),1,,5,,,,,,120000,,,,19600801,"US,US,reprt,L-1178/62"
32,1,2,75,1,550,175370102,1080,02260A73EF760438,,,,4,,,4,5.18,2,,,,,,,,,,,(1),2.5,00.3+(02.2),1,,3,,,,,,120000,,,,19981013,"US,US,reprt,8thCGD,LNM 41/98"
35,1,2,75,1,550,175370116,1080,02260A73EF840438,,,,3,,,4,9.14,4,,,,,,,,,271,161,(1),1,00.3+(00.7),1,,5,,,,,,120000,,,,19970802,"US,US,graph,chart 11322"
37,1,2,75,1,550,175370058,1080,02260A73EF4A0438,,,,3,,,4,5.18,1,,,,,,,,,,,,,,8,,,,2 lights,,,,120000,,,,19680901,"US,U1,reprt,NM 40/68"
39,1,2,75,1,550,175370158,1080,02260A73EFAE0438,,,,4,,,4,4.26,1,,,,,,,,,,,,,,8,,,,,,,,120000,,,,19600801,"US,US,reprt,L-1178/62"
41,1,2,75,1,550,175370145,1080,02260A73EFA10438,,,,4,,,4,4.26,1,,,,,,,,,,,,,,8,,,,,,,,120000,,,,19600801,"US,US,reprt,L-1178/62"
43,1,2,75,1,550,175370186,1080,02260A73EFCA0438,,,,3,,,4,3.04,1,,,,,,,,,,,,,,8,,,,,,,,90000,,,,19680901,"US,U1,reprt,NM 40/68"
46,1,2,75,1,550,175370199,1080,02260A73EFD70438,,,,4,,,4,5.18,2,,,,,,,,,,,(1),2.5,00.3+(02.2),1,,3,,,,,,120000,,,,19971014,"US,US,reprt,8thCGD,LNM 42/97"
49,1,2,75,1,550,175370257,1080,02260A73F0110438,,,,3,,,4,4.26,4,,,,,,,,,,,(1),1,00.3+(00.7),1,,3,,,,,,120000,,,,19971014,"US,US,reprt,8thCGD,LNM 42/97"
52,1,2,75,1,550,175370398,1080,02260A73F09E0438,,,,4,,,4,,2,,,,,,,,,,,(1),2.5,00.3+(02.2),8,,,,,,,,120000,,,,19940322,"US,US,reprt,8thCGD,LNM 12/94"
60,1,2,75,1,550,175370213,1080,02260A73EFE50438,,,"4,13",4,,,4,44.5,8,,,,,,,,,315.52,319.52,(1),4,(01.0)+03.0,1,,,,,,,,120000,,,,19980630,"US,US,reprt,8thCGD,LNM 26/98"
61,1,2,75,1,550,175370413,1080,02260A73F0AD0438,,,"4,13",1,,,2,43.58,8,,,,,,,,,315.52,319.52,(1),4,(01.0)+03.0,1,,,,,,,,120000,,,,19980630,"US,US,reprt,8thCGD,LNM 26/98"
64,1,2,75,1,550,175370227,1080,02260A73EFF30438,,,"4,12",1,,,2,12.19,4,,,,,,,,,315.52,319.52,(1),1,00.3+(00.7),1,,,,,,,,120000,,,,20010501,"US,US,reprt,8th CGD,LNM 18/01"
65,1,2,75,1,550,175370242,1080,02260A73F0020438,,,"4,12",4,,,4,10.97,4,,,,,,,,,315.52,319.52,(1),1,00.3+(00.7),1,,,,,,,,120000,,,,20010501,"US,US,reprt,8th CGD,LNM 18/01"
66,1,2,75,1,550,175370428,1080,02260A73F0BC0438,,,10,1,,,1,3.04,4,,,,,,,,,,,(1),1,00.3+(00.7),1,,4,,,,,,120000,,,,20010501,"US,US,reprt,8th CGD,LNM 18/01"
69,1,2,75,1,550,175370271,1080,02260A73F01F0438,,,,3,,,4,5.79,2,,,,,,,,,,,(1),2.5,00.3+(02.2),8,,,,,,,,90000,,,,19771201,"US,US,reprt,8thCGD,LNM 52/77"
71,1,2,75,1,550,175370286,1080,02260A73F02E0438,,,,3,,,4,5.79,2,,,,,,,,,,,(1),2.5,00.3+(02.2),8,,,,,,,,90000,,,,19800301,"US,US,reprt,8thCGD,LNM 10/80"
73,1,2,75,1,550,175370299,1080,02260A73F03B0438,,,,3,,,4,4.87,1,,,,,,,,,,,,,,8,,,,2 lights,,,,90000,,,,19680901,"US,U1,reprt,NM 40/68"
78,1,2,75,1,550,175370313,1080,02260A73F0490438,,,"4,12",3,,,4,10.66,4,,,,,,,,,81.2,85.2,(1),1,00.3+(00.7),1,,,,,,,,120000,,,,19970802,"US,US,graph,chart 11322"
81,1,2,75,1,550,175370327,1080,02260A73F0570438,,,"4,13",3,,,4,15.24,1,,,,,,,,,81.2,85.2,,,,1,,,,,,,,120000,,,,19970802,"US,US,graph,chart 11322"
84,1,2,75,1,550,175370385,1080,02260A73F0910438,,,,3,,,4,3.96,1,,,,,,,,,,,,,,8,,,,,,,,90000,,,,19991214,"US,US,reprt,8thCGD,LNM 50/99"
86,1,2,75,1,550,175370369,1080,02260A73F0810438,,,,3,,,4,4.57,2,,,,,,,,,,,(1),2.5,00.3+(02.2),8,,,,,,,,90000,,,,19940322,"US,US,reprt,8thCGD,LNM 12/94"
88,1,2,75,1,550,175370340,1080,02260A73F0640438,,,,3,,,4,4.57,2,,,,,,,,,,,(1),2.5,00.3+(02.2),8,,,,,,,,90000,,,,19920324,"US,US,reprt,8thCGD,LNM 13/92"
90,1,2,75,1,550,175370354,1080,02260A73F0720438,,,,4,,,4,4.57,2,,,,,,,,,,,(1),2.5,00.3+(02.2),8,,,,,,,,90000,,,,19940322,"US,US,reprt,8thCGD,LNM 12/94"
93,1,2,75,1,550,175369958,1080,02260A73EEE60438,,,,4,,,4,,2,,,,,,,,,,,(1),4,00.4+(03.6),1,,5,,,,,,150000,,,,19840801,"US,US,reprt,8thCGD,LNM 33/84"
95,1,2,75,1,550,175369974,1080,02260A73EEF60438,,,,3,,,4,,2,,,,,,,,,,,(1),4,00.4+(03.6),1,,4,,,,,,150000,,,,19920609,"US,US,reprt,8thCGD,LNM 24/92"
97,1,2,75,1,550,175369988,1080,02260A73EF040438,,,,4,,,4,,2,,,,,,,,,,,(1),4,00.4+(03.6),1,,4,,,,,,150000,,,,19970802,"US,US,graph,chart 11322"
100,1,2,75,1,550,175370003,1080,02260A73EF130438,,,,3,,,4,,2,,,,,,,,,,,(1),2.5,00.3+(02.2),1,,4,,,,,,150000,,,,19920609,"US,US,reprt,8thCGD,LNM 24/92"
