RCID,PRIM,GRUP,OBJL,RVER,AGEN,FIDN,FIDS,LNAM,LNAM_REFS,FFPT_RIND,CONDTN,HEIGHT,NOBJNM,OBJNAM,STATUS,VERACC,INFORM,NINFOM,NTXTDS,SCAMAX,SCAMIN,TXTDSC,RECDAT,RECIND,SORDAT,SORIND
2200,2,2,106,1,550,175416143,1080,02260A74A34F0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2201,2,2,106,1,550,175418422,1080,02260A74AC360438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2202,2,2,106,1,550,175404411,1080,02260A74757B0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2203,2,2,106,1,550,175404450,1080,02260A7475A20438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2204,2,2,106,1,550,175404530,1080,02260A7475F20438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2205,2,2,106,1,550,175404580,1080,02260A7476240438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2206,2,2,106,1,550,175404618,1080,02260A74764A0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2207,2,2,106,1,550,175404697,1080,02260A7476990438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2208,2,2,106,1,550,175404845,1080,02260A74772D0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2209,2,2,106,1,550,175404912,1080,02260A7477700438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2210,2,2,106,1,550,175405042,1080,02260A7477F20438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2211,2,2,106,1,550,175405095,1080,02260A7478270438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2212,2,2,106,1,550,175405161,1080,02260A7478690438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2213,2,2,106,1,550,175405189,1080,02260A7478850438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2214,2,2,106,1,550,175405228,1080,02260A7478AC0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2215,2,2,106,1,550,175405269,1080,02260A7478D50438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2216,2,2,106,1,550,175405282,1080,02260A7478E20438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2217,2,2,106,1,550,175405308,1080,02260A7478FC0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2218,2,2,106,1,550,175405655,1080,02260A747A570438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2219,2,2,106,1,550,175405844,1080,02260A747B140438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2220,2,2,106,1,550,175405870,1080,02260A747B2E0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2221,2,2,106,1,550,175405883,1080,02260A747B3B0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2222,2,2,106,1,550,175405896,1080,02260A747B480438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2223,2,2,106,1,550,175405976,1080,02260A747B980438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2224,2,2,106,1,550,175406408,1080,02260A747D480438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2225,2,2,106,1,550,175406436,1080,02260A747D640438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2226,2,2,106,1,550,175406474,1080,02260A747D8A0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2227,2,2,106,1,550,175406487,1080,02260A747D970438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2228,2,2,106,1,550,175406499,1080,02260A747DA30438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2229,2,2,106,1,550,175406512,1080,02260A747DB00438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2230,2,2,106,1,550,175406526,1080,02260A747DBE0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2231,2,2,106,1,550,175406539,1080,02260A747DCB0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2232,2,2,106,1,550,175406627,1080,02260A747E230438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2233,2,2,106,1,550,175406692,1080,02260A747E640438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2234,2,2,106,1,550,175406705,1080,02260A747E710438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2235,2,2,106,1,550,175406732,1080,02260A747E8C0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2236,2,2,106,1,550,175406746,1080,02260A747E9A0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2237,2,2,106,1,550,175407261,1080,02260A74809D0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2238,2,2,106,1,550,175407289,1080,02260A7480B90438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2239,2,2,106,1,550,175407330,1080,02260A7480E20438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2240,2,2,106,1,550,175407561,1080,02260A7481C90438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2241,2,2,106,1,550,175407696,1080,02260A7482500438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2242,2,2,106,1,550,175408128,1080,02260A7484000438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2243,2,2,106,1,550,175408156,1080,02260A74841C0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2244,2,2,106,1,550,175408169,1080,02260A7484290438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2245,2,2,106,1,550,175414213,1080,02260A749BC50438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2246,2,2,106,1,550,175414259,1080,02260A749BF30438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2247,2,2,106,1,550,175414305,1080,02260A749C210438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2248,2,2,106,1,550,175414320,1080,02260A749C300438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2249,2,2,106,1,550,175414472,1080,02260A749CC80438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2250,2,2,106,1,550,175414501,1080,02260A749CE50438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2251,2,2,106,1,550,175414528,1080,02260A749D000438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2252,2,2,106,1,550,175414588,1080,02260A749D3C0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2253,2,2,106,1,550,175414617,1080,02260A749D590438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2254,2,2,106,1,550,175414632,1080,02260A749D680438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2255,2,2,106,1,550,175414686,1080,02260A749D9E0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2256,2,2,106,1,550,175414774,1080,02260A749DF60438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2257,2,2,106,1,550,175414790,1080,02260A749E060438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2258,2,2,106,1,550,175415167,1080,02260A749F7F0438,,,,,,M P,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2259,2,2,106,1,550,175416336,1080,02260A74A4100438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2260,2,2,106,1,550,175416350,1080,02260A74A41E0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2261,2,2,106,1,550,175416391,1080,02260A74A4470438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2262,2,2,106,1,550,175416420,1080,02260A74A4640438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2263,2,2,106,1,550,175416447,1080,02260A74A47F0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2264,2,2,106,1,550,175416616,1080,02260A74A5280438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2265,2,2,106,1,550,175416842,1080,02260A74A60A0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2266,2,2,106,1,550,175417110,1080,02260A74A7160438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2267,2,2,106,1,550,175417281,1080,02260A74A7C10438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2268,2,2,106,1,550,175417295,1080,02260A74A7CF0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2269,2,2,106,1,550,175417323,1080,02260A74A7EB0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2270,2,2,106,1,550,175417337,1080,02260A74A7F90438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2271,2,2,106,1,550,175417378,1080,02260A74A8220438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2272,2,2,106,1,550,175417778,1080,02260A74A9B20438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2273,2,2,106,1,550,175418009,1080,02260A74AA990438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2274,2,2,106,1,550,175419278,1080,02260A74AF8E0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2275,2,2,106,1,550,175419363,1080,02260A74AFE30438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2276,2,2,106,1,550,175419378,1080,02260A74AFF20438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2277,2,2,106,1,550,175419391,1080,02260A74AFFF0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2278,2,2,106,1,550,175419405,1080,02260A74B00D0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2279,2,2,106,1,550,175419419,1080,02260A74B01B0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2280,2,2,106,1,550,175419840,1080,02260A74B1C00438,,,,,,M P,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2281,2,2,106,1,550,175437119,1080,02260A74F53F0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2282,2,2,106,1,550,175437135,1080,02260A74F54F0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2283,2,2,106,1,550,175437167,1080,02260A74F56F0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2284,2,2,106,1,550,175437477,1080,02260A74F6A50438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2285,2,2,106,1,550,175447775,1080,02260A751EDF0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2286,2,2,106,1,550,175415577,1080,02260A74A1190438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2287,2,2,106,1,550,175415653,1080,02260A74A1650438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2288,2,2,106,1,550,175415699,1080,02260A74A1930438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2289,2,2,106,1,550,175415729,1080,02260A74A1B10438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2290,2,2,106,1,550,175415773,1080,02260A74A1DD0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2291,2,2,106,1,550,175416258,1080,02260A74A3C20438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2292,2,2,106,1,550,175416286,1080,02260A74A3DE0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2293,2,2,106,1,550,175417408,1080,02260A74A8400438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2294,2,2,106,1,550,175417464,1080,02260A74A8780438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2295,2,2,106,1,550,175417491,1080,02260A74A8930438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2296,2,2,106,1,550,175417549,1080,02260A74A8CD0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2297,2,2,106,1,550,175417607,1080,02260A74A9070438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2298,2,2,106,1,550,175417621,1080,02260A74A9150438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2299,2,2,106,1,550,175417649,1080,02260A74A9310438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2300,2,2,106,1,550,175417663,1080,02260A74A93F0438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
2301,2,2,106,1,550,175437783,1080,02260A74F7D70438,,,,,,,,,,,,,350000,,,,19990529,"US,US,graph,chart 11322"
